Kürzel,Name,Börse
CXE,MFS High Income Municipal Trust Common Stock,NYSE
CXEE,"China Xuefeng Environmental Engineering, Inc. Common Stock",OTC
CXH,MFS Investment Grade Municipal Trust Common Stock,NYSE
CXM,"Sprinklr, Inc. Class A Common Stock",NYSE
CXMSF,CEMEX SAB DE CV,OTC
CXRN,Teucrium 2x Daily Corn ETF,NYSE ARCA
CXSE,WisdomTree China ex-State-Owned Enterprises Fund,NASDAQ
CXT,"Crane NXT, Co. Common Stock",NYSE
CXW,"CoreCivic, Inc. Common Stock",NYSE
CXXIF,C21 Investments Inc.,OTC
CYAB,"Cyabra, Inc. - Common Stock",NASDAQ
CYAN,CYANOTECH CORP,OTC
CYAND,CYANOTECH CORP,OTC
CYATY,"Contemporary Amperex Technology Co., Limited/ADR",OTC
CYCA,CYTTA CORP.,OTC
CYCN,"Cyclerion Therapeutics, Inc. - Common Stock",NASDAQ
CYCU,"Cycurion, Inc. - Common Stock",NASDAQ
CYCUW,"Cycurion, Inc. - Warrants",NASDAQ
CYD,China Yuchai International Limited Common Stock,NYSE
CYDY,CytoDyn Inc.,OTC
CYH,"Community Health Systems, Inc. Common Stock",NYSE
CYJBF,Cargotec Corp OYJ,OTC
CYN,Cyngn Inc. - Common stock,NASDAQ
CYPH,Cypherpunk Technologies Inc. - Common Stock,NASDAQ
CYRX,"CryoPort, Inc. - Common Stock",NASDAQ
CYTK,"Cytokinetics, Incorporated - Common Stock",NASDAQ
CYTOF,Altamira Therapeutics Ltd.,OTC
CZA,Invesco Zacks Mid-Cap ETF,NYSE ARCA
CZAR,Themes Natural Monopoly ETF,NASDAQ
CZFS,"Citizens Financial Services, Inc. - Common Stock",NASDAQ
CZICF,Canadian Zinc Corporation Ordinary Shares (Canada),OTC
CZNC,Citizens & Northern Corp - Common Stock,NASDAQ
CZR,"Caesars Entertainment, Inc. - Common Stock",NASDAQ
CZWI,"Citizens Community Bancorp, Inc. - Common Stock",NASDAQ
D,"Dominion Energy, Inc. Common Stock",NYSE
DAAQ,Digital Asset Acquisition Corp. - Class A Ordinary shares,NASDAQ
DAAQU,Digital Asset Acquisition Corp. - Units,NASDAQ
DAAQW,Digital Asset Acquisition Corp. - Warrant,NASDAQ
DABS,DoubleLine Asset-Backed Securities ETF,NYSE ARCA
DAC,Danaos Corporation Common Stock,NYSE
DADS,Digital Asset Debt Strategy ETF,NASDAQ
DAIC,"CID HoldCo, Inc. - Common Stock",NASDAQ
DAICW,"CID HoldCo, Inc. - Warrants",NASDAQ
DAIO,Data I/O Corporation - Common Stock,NASDAQ
DAK,Dakota Active Equity ETF,NASDAQ
DAKT,"Daktronics, Inc. - Common Stock",NASDAQ
DAL,"Delta Air Lines, Inc. Common Stock",NYSE
DALI,First Trust Dorsey Wright DALI Equity ETF,NASDAQ
DALP,Dala Petroleum Corp. Common Stock,OTC
DAMD,Defiance Daily Target 2X Short AMD ETF,NYSE ARCA
DAN,Dana Incorporated Common Stock,NYSE
DANA,Dana Limited Volatility ETF,NYSE ARCA
DAO,"Youdao, Inc. American Depositary Shares, each representing one Class A Ordinary Share",NYSE
DAPP,VanEck Digital Transformation ETF,NASDAQ
DAPR,FT Vest U.S. Equity Deep Buffer ETF - April,BATS
DAR,Darling Ingredients Inc. Common Stock,NYSE
DARE,"Dare Bioscience, Inc. - Common Stock",NASDAQ
DARP,Grizzle Growth ETF,NYSE ARCA
DASH,"DoorDash, Inc. - Common Stock",NASDAQ
DAT,ProShares Big Data Refiners ETF,NYSE ARCA
DAUG,FT Vest U.S. Equity Deep Buffer ETF - August,BATS
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),NYSE
DAVE,Dave Inc.  - Class A Common Stock,NASDAQ
DAVEW,Dave Inc.  - Warrants,NASDAQ
DAVI,DAVION HEALTHCARE PLC,OTC
DAWN,"Day One Biopharmaceuticals, Inc. - Common Stock",NASDAQ
DAX,Global X DAX Germany ETF,NASDAQ
DAZSF,ZKGC New Energy Ltd,OTC
DB,Deutsche Bank AG Common Stock,NYSE
DBA,Invesco DB Agriculture Fund,NYSE ARCA
DBAW,Xtrackers MSCI All World ex US Hedged Equity ETF,NYSE ARCA
DBB,Invesco DB Base Metals Fund,NYSE ARCA
DBC,Invesco DB Commodity Index Tracking Fund,NYSE ARCA
DBCA,D. Boral Acquisition I Corp. - Class A Ordinary Shares,NASDAQ
DBCAU,D. Boral Acquisition I Corp. - Unit,NASDAQ
DBCAW,D. Boral Acquisition I Corp. - Warrants,NASDAQ
DBD,Diebold Nixdorf Incorporated Common stock,NYSE
DBE,Invesco DB Energy Fund,NYSE ARCA
DBEF,Xtrackers MSCI EAFE Hedged Equity ETF,NYSE ARCA
DBEM,Xtrackers MSCI Emerging Markets Hedged Equity ETF,NYSE ARCA
DBEU,Xtrackers MSCI Europe Hedged Equity ETF,NYSE ARCA
DBEZ,Xtrackers MSCI Eurozone Hedged Equity ETF,NYSE ARCA
DBGI,"Digital Brands Group, Inc. - Common Stock",NASDAQ
DBI,Designer Brands Inc. Class A Common Stock,NYSE
DBIM,Dbim Holdings Ltd,OTC
DBJP,Xtrackers MSCI Japan Hedged Equity ETF,NYSE ARCA
DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,NYSE
DBMF,iMGP DBi Managed Futures Strategy ETF,NYSE ARCA
DBMM,"Digital Brand Media & Marketing Group, Inc.",OTC
DBND,DoubleLine Opportunistic Core Bond ETF,NYSE ARCA
DBO,Invesco DB Oil Fund,NYSE ARCA
DBP,Invesco DB Precious Metals Fund,NYSE ARCA
DBRG,"DigitalBridge Group, Inc.",NYSE
DBRG$H,"DigitalBridge Group, Inc. 7.125% Series H",NYSE
DBRG$I,"DigitalBridge Group, Inc. 7.15% Series I",NYSE
DBRG$J,"DigitalBridge Group, Inc. 7.125% Series J",NYSE
DBRG-PH,"DigitalBridge Group, Inc.",OTC
DBRG-PI,"DigitalBridge Group, Inc.",OTC
DBRG-PJ,"DigitalBridge Group, Inc.",OTC
DBSC,Deepwater Beachfront Small Cap ETF,NASDAQ
DBVT,DBV Technologies S.A. - American Depositary Shares,NASDAQ
DBVTF,DBV Technologies S.A.,OTC
DBX,"Dropbox, Inc. - Class A Common Stock",NASDAQ
DC,Dakota Gold Corp. Common Stock,AMEX
DCAC,Daniels Corporate Advisory Co Inc Com,OTC
DCBF,DCB Financial Corp. Common Stock,OTC
DCBO,Docebo Inc. - Common Shares,NASDAQ
DCFBS,"DCFC Holdings, LLC",OTC
DCGO,DocGo Inc. - Common Stock,NASDAQ
DCH,Dauch Corporation Common Stock,NYSE
DCI,"Donaldson Company, Inc. Common Stock",NYSE
DCMT,DoubleLine Commodity Strategy ETF,NYSE ARCA
DCO,Ducommun Incorporated Common Stock,NYSE
DCOM,"Dime Community Bancshares, Inc. - Common Stock",NASDAQ
DCOMG,"Dime Community Bancshares, Inc. - 9.000% Fixed-to-Floating Rate Subordinated Notes due 2034",NASDAQ
DCOMP,"Dime Community Bancshares, Inc. - Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series A",NASDAQ
DCOR,Dimensional US Core Equity 1 ETF,NYSE ARCA
DCOY,Decoy Therapeutics Inc. - Common Stock,NASDAQ
DCRE,DoubleLine Commercial Real Estate Debt ETF,NYSE ARCA
DCTH,"Delcath Systems, Inc. - Common Stock",NASDAQ
DCX,Digital Currency X Technology Inc. - Class A Ordinary Shares,NASDAQ
DD,"DuPont de Nemours, Inc. Common Stock",NYSE
DDC,DDC Enterprise Limited Class A Ordinary Shares,AMEX
DDD,3D Systems Corporation Common Stock,NYSE
DDDD,YieldMax U.S. Stocks Target Double Distribution ETF,NYSE ARCA
DDEC,FT Vest U.S. Equity Deep Buffer ETF - December,BATS
DDFD,Innovator Equity Dual Directional 15 Buffer ETF - December,BATS
DDFF,Innovator Equity Dual Directional 15 Buffer ETF - February,BATS
DDFJ,Innovator Equity Dual Directional 15 Buffer ETF - January,BATS
DDFL,Innovator Equity Dual Directional 15 Buffer ETF - July,BATS
DDFM,Innovator Equity Dual Directional 15 Buffer ETF - March,BATS
DDFN,Innovator Equity Dual Directional 15 Buffer ETF - November,BATS
DDFO,Innovator Equity Dual Directional 15 Buffer ETF - October,BATS
DDFS,Innovator Equity Dual Directional 15 Buffer ETF - September,BATS
DDHLY,Digital Domain Holdings Limited/ADR,OTC
DDI,"DoubleDown Interactive Co., Ltd. - American Depository Shares",NASDAQ
DDIV,First Trust Dorsey Wright Momentum & Dividend ETF,NASDAQ
DDL,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares),NYSE
DDLS,WisdomTree Dynamic International SmallCap Equity Fund,BATS
DDM,ProShares Ultra Dow30,NYSE ARCA
DDNQ,Innovator Growth-100 Dual Directional 5 Buffer ETF - Quarterly,BATS
DDOG,"Datadog, Inc. - Class A Common Stock",NASDAQ
DDRT,"DanDrit Biotech USA, Inc. Common Stock",OTC
DDS,"Dillard's, Inc. Common Stock",NYSE
DDSQ,Innovator Equity Dual Directional 5 Buffer ETF - Quarterly,BATS
DDT,Dillard's Capital Trust I,NYSE
DDTD,Innovator Equity Dual Directional 10 Buffer ETF - December,BATS
DDTF,Innovator Equity Dual Directional 10 Buffer ETF - February,BATS
DDTJ,Innovator Equity Dual Directional 10 Buffer ETF - January,BATS
DDTL,Innovator Equity Dual Directional 10 Buffer ETF - July,BATS
DDTM,Innovator Equity Dual Directional 10 Buffer ETF - March,BATS
DDTN,Innovator Equity Dual Directional 10 Buffer ETF - November,BATS
DDTO,Innovator Equity Dual Directional 10 Buffer ETF - October,BATS
DDTS,Innovator Equity Dual Directional 10 Buffer ETF - September,BATS
DDV,Defined Duration 5 ETF,BATS
DDWM,WisdomTree Dynamic International Equity Fund,BATS
DDX,Defined Duration 10 ETF,BATS
DDXX,Defined Duration 20 ETF,BATS
DE,Deere & Company Common Stock,NYSE
DEA,"Easterly Government Properties, Inc. Common Stock",NYSE
DEAC,Elite Data Services Inc. Common Stock,OTC
DEC,Diversified Energy Company Common Stock,NYSE
DECK,Deckers Outdoor Corporation Common Stock,NYSE
DECM,FT Vest U.S. Equity Max Buffer ETF - December,BATS
DECO,State Street Galaxy Digital Asset Ecosystem ETF,NASDAQ
DECP,PGIM S&P 500 Buffer 12 ETF - December,BATS
DECT,AllianzIM U.S. Large Cap Buffer10 Dec ETF,BATS
DECU,AllianzIM U.S. Equity Buffer15 Uncapped Dec ETF,BATS
DECW,AllianzIM U.S. Large Cap Buffer20 Dec ETF,BATS
DECZ,TrueShares Structured Outcome (December) ETF,BATS
DEED,First Trust Securitized Plus ETF,NYSE ARCA
DEEF,Xtrackers FTSE Developed ex US Multifactor ETF,NYSE ARCA
DEENF,DEUTSCHE BANK AKTIENGESELLSCHAFT,OTC
DEEP,Acquirers Small and Micro Deep Value ETF,NYSE ARCA
DEFG,Grayscale Decentralized Finance (DeFi) Fund LLC,OTC
DEFI,Hashdex Bitcoin ETF,NYSE ARCA
DEFR,Aptus Deferred Income ETF,BATS
DEFT,"Defi Technologies, Inc. - Common Stock",NASDAQ
DEHP,Dimensional Emerging Markets High Profitability ETF,NYSE ARCA
DEI,"Douglas Emmett, Inc. Common Stock",NYSE
DELL,Dell Technologies Inc. Class C Common Stock,NYSE
DEM,WisdomTree Emerging Markets High Dividend Fund,NYSE ARCA
DEMZ,Democratic Large Cap Core ETF,NASDAQ
DEO,Diageo plc Common Stock,NYSE
DERM,Journey Medical Corporation - Common Stock,NASDAQ
DES,WisdomTree U.S. SmallCap Dividend Fund,NYSE ARCA
DESK,VanEck Office and Commercial REIT ETF,NYSE ARCA
DEUS,Xtrackers Russell US Multifactor ETF,NYSE ARCA
DEVS,DevvStream Corp. - Common Stock,NASDAQ
DEW,WisdomTree Global High Dividend Fund,NYSE ARCA
DEXC,Dimensional Emerging Markets ex China Core Equity ETF,NYSE ARCA
DFAC,Dimensional U.S. Core Equity 2 ETF,NYSE ARCA
DFAE,Dimensional Emerging Core Equity Market ETF,NYSE ARCA
DFAI,Dimensional International Core Equity Market ETF,NYSE ARCA
DFAR,Dimensional US Real Estate ETF,NYSE ARCA
DFAS,Dimensional U.S. Small Cap ETF,NYSE ARCA
DFAT,Dimensional U.S. Targeted Value ETF,NYSE ARCA
DFAU,Dimensional US Core Equity Market ETF,NYSE ARCA
DFAW,Dimensional World Equity ETF,NYSE ARCA
DFAX,Dimensional World ex U.S. Core Equity 2 ETF,NYSE ARCA
DFCA,Dimensional California Municipal Bond ETF,NYSE ARCA
DFCF,Dimensional Core Fixed Income ETF,NYSE ARCA
DFDV,DeFi Development Corp. - Common Stock,NASDAQ
DFDVW,DeFi Development Corp. - Warrant,NASDAQ
DFE,WisdomTree Europe SmallCap Dividend Fund,NYSE ARCA
DFEB,FT Vest U.S. Equity Deep Buffer ETF - February,BATS
DFEM,Dimensional Emerging Markets Core Equity 2 ETF,NYSE ARCA
DFEN,Direxion Daily Aerospace & Defense Bull 3X ETF,NYSE ARCA
DFEV,Dimensional Emerging Markets Value ETF,NYSE ARCA
DFGP,Dimensional Global Core Plus Fixed Income ETF,NASDAQ
DFGR,Dimensional Global Real Estate ETF,NYSE ARCA
DFGX,Dimensional International Core Fixed Income ETF,NASDAQ
DFH,"Dream Finders Homes, Inc. Class A Common Stock",NYSE
DFIC,Dimensional International Core Equity 2 ETF,BATS
DFII,FT Vest Bitcoin Strategy & Target Income ETF,NYSE ARCA
DFIN,"Donnelley Financial Solutions, Inc. Common Stock",NYSE
DFIP,Dimensional Inflation-Protected Securities ETF,NYSE ARCA
DFIS,Dimensional International Small Cap ETF,BATS
DFIV,Dimensional International Value ETF,NYSE ARCA
DFJ,WisdomTree Japan SmallCap Fund,NYSE ARCA
DFLI,Dragonfly Energy Holdings Corp - Common Stock,NASDAQ
DFLIW,Dragonfly Energy Holdings Corp - Warrant,NASDAQ
DFLV,Dimensional US Large Cap Value ETF,NYSE ARCA
DFMC,U.S. Micro Cap Portfolio: ETF Class Shares,NYSE ARCA
DFNL,Davis Select Financial ETF,BATS
DFNM,Dimensional National Municipal Bond ETF,NYSE ARCA
DFNS,T3 Defense Inc. - Common Stock,NASDAQ
DFNSW,T3 Defense Inc. - Warrants,NASDAQ
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,NYSE
DFPH,"Oncology Institute, Inc.",OTC
DFSB,Dimensional Global Sustainability Fixed Income ETF,NYSE ARCA
DFSC,"DEFSEC Technologies Inc. - common stock, no R/S concurrent with offering",NASDAQ
DFSCW,DEFSEC Technologies Inc. - warrant,NASDAQ
DFSD,Dimensional Short-Duration Fixed Income ETF,NYSE ARCA
DFSE,Dimensional Emerging Markets Sustainability Core 1 ETF,NYSE ARCA
DFSI,Dimensional International Sustainability Core 1 ETF,NYSE ARCA
DFSU,Dimensional US Sustainability Core 1 ETF,NYSE ARCA
DFSV,Dimensional US Small Cap Value ETF,NYSE ARCA
DFTT,DF Tactical 30 ETF,NYSE ARCA
DFTX,"Definium Therapeutics, Inc.  - Common Shares",NASDAQ
DFUKF,DeFi Development Corp.,OTC
DFUS,Dimensional U.S. Equity Market ETF,NYSE ARCA
DFUV,Dimensional US Marketwide Value ETF,NYSE ARCA
DFVE,DoubleLine Fortune 500 Equal Weight ETF,NYSE ARCA
DFVX,Dimensional US Large Cap Vector ETF,NYSE ARCA
DG,Dollar General Corporation Common Stock,NYSE
DGCB,Dimensional Global Credit ETF,NASDAQ
DGCOF,Daura Capital Corp.,OTC
DGDM,"Digital Development Partners, Inc.  Common Stock",OTC
DGEAF,DIAGEO PLC,OTC
DGICA,"Donegal Group, Inc. - Class A Common Stock",NASDAQ
DGICB,"Donegal Group, Inc. - Class B Common Stock",NASDAQ
DGII,Digi International Inc. - Common Stock,NASDAQ
DGIN,VanEck Digital India ETF,NYSE ARCA
DGJA,FT Vest U.S. Equity Buffer & Digital Return ETF - January,BATS
DGJI,Dragon Jade International Ltd. Common,OTC
DGLO,First Trust RBA Deglobalization ETF,NASDAQ
DGMDF,Digital Domain Holdings Limited/ADR,OTC
DGNX,Diginex Limited - Ordinary Shares,NASDAQ
DGOC,FT Vest U.S. Equity Buffer & Digital Return ETF - October,BATS
DGP,"DB Gold Double Long ETN due February 15, 2038",NYSE ARCA
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,NASDAQ
DGRO,iShares Core Dividend Growth ETF,NYSE ARCA
DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,NASDAQ
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,NASDAQ
DGS,WisdomTree Emerging Market SmallCap Fund,NYSE ARCA
DGT,State Street SPDR Global Dow ETF,NYSE ARCA
DGTEF,Eat & Beyond Global Holdings Inc.,OTC
DGX,Quest Diagnostics Incorporated Common Stock,NYSE
DGXX,Digi Power X Inc. - Common Subordinate Voting Shares,NASDAQ
DGZ,"DB Gold Short ETN due February 15, 2038",NYSE ARCA
DH,Definitive Healthcare Corp. - Class A Common Stock,NASDAQ
DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,NASDAQ
DHCNI,Diversified Healthcare Trust  - 5.625% Senior Notes due 2042,NASDAQ
DHCNL,Diversified Healthcare Trust  - 6.25% Senior Notes Due 2046,NASDAQ
DHDG,FT Vest U.S. Equity Quarterly 2.5 to 15 Buffer ETF,BATS
DHF,BNY Mellon High Yield Strategies Fund Common Stock,NYSE
DHI,"D.R. Horton, Inc. Common Stock",NYSE
DHIL,"Diamond Hill Investment Group, Inc. - Class A Common Stock",NASDAQ
DHLX,Diamond Hill Large Cap Concentrated ETF,NYSE ARCA
DHR,Danaher Corporation Common Stock,NYSE
DHS,WisdomTree U.S. High Dividend Fund,NYSE ARCA
DHSB,Day Hagan Smart Buffer ETF,NYSE ARCA
DHT,"DHT Holdings, Inc.",NYSE
DHTI,"Dalrada Technology Group, Inc.",OTC
DHX,"DHI Group, Inc. Common Stock",NYSE
DHY,Credit Suisse High Yield Credit Fund Common Stock,AMEX
DIA,State Street SPDR Dow Jones Industrial Average ETF Trust,NYSE ARCA
DIAL,Columbia Diversified Fixed Income Allocation ETF,NYSE ARCA
DIAX,Nuveen Dow 30sm Dynamic Overwrite Fund,OTC
DIBS,"1stdibs.com, Inc. - Common Stock",NASDAQ
DIDIY,DiDi Global Inc.,OTC
DIEM,Franklin Emerging Market Core Dividend Tilt Index ETF,NYSE ARCA
DIG,ProShares Ultra Energy,NYSE ARCA
DIHP,Dimensional International High Profitability ETF,BATS
DIM,WisdomTree International MidCap Dividend Fund,NYSE ARCA
DIME,CoinShares Altcoins ETF,NASDAQ
DIMN,"Diamante Minerals, Inc. Common Stock",OTC
DIN,"Dine Brands Global, Inc. Common Stock",NYSE
DINO,HF Sinclair Corporation Common Stock,NYSE
DINRF,"SCREEN Holdings Co., Ltd./ADR",OTC
DINT,Davis Select International ETF,BATS
DIOD,Diodes Incorporated - Common Stock,NASDAQ
DIPS,YieldMax Short NVDA Option Income Strategy ETF,NYSE ARCA
DIS,Walt Disney Company (The) Common Stock,NYSE
DISO,YieldMax DIS Option Income Strategy ETF,NYSE ARCA
DISPF,Disco Corporation/ADR,OTC
DISV,Dimensional International Small Cap Value ETF,BATS
DIT,AMCON Distributing Company Common Stock,AMEX
DIV,Global X Super Dividend ETF,NYSE ARCA
DIVB,iShares Core Dividend ETF,BATS
DIVD,Altrius Global Dividend ETF,NASDAQ
DIVE,Dana Concentrated Dividend ETF,NYSE ARCA
DIVG,Invesco S&P 500 High Dividend Growers ETF,NYSE ARCA
DIVI,Franklin International Core Dividend Tilt Index ETF,NYSE ARCA
DIVL,Madison Dividend Value ETF,NYSE ARCA
DIVN,Horizon Dividend Income ETF,BATS
DIVO,Amplify CWP Enhanced Dividend Income ETF,NYSE ARCA
DIVP,Cullen Enhanced Equity Income ETF,NYSE ARCA
DIVS,Guinness Atkinson Dividend Builder ETF,NYSE ARCA
DIVY,Sound Equity Dividend Income ETF,NYSE
DIVZ,Polen Dividend Income ETF,NYSE ARCA
DJAN,FT Vest U.S. Equity Deep Buffer ETF - January,BATS
DJCO,Daily Journal Corp. (S.C.) - Common Stock,NASDAQ
DJD,Invesco Dow Jones Industrial Average Dividend ETF,NYSE ARCA
DJIA,Global X Dow 30 Covered Call ETF,NYSE ARCA
DJP,iPath Bloomberg Commodity Index Total Return ETN,NYSE ARCA
DJT,Trump Media & Technology Group Corp. - Common Stock,NASDAQ
DJTU,T-REX 2X Long DJT Daily Target ETF,BATS
DJTWW,Trump Media & Technology Group Corp. - Warrants,NASDAQ
DJUL,FT Vest U.S. Equity Deep Buffer ETF - July,BATS
DJUN,FT Vest U.S. Equity Deep Buffer ETF - June,BATS
DK,"Delek US Holdings, Inc. Common Stock",NYSE
DKI,DarkIris Inc. - Class A Ordinary Shares,NASDAQ
DKILF,Daikin Industries Ltd,OTC
DKL,"Delek Logistics Partners, L.P. Common Units representing Limited Partner Interests",NYSE
DKNG,DraftKings Inc. - Class A Common Stock,NASDAQ
DKNX,Defiance Daily Target 2X Long DKNG ETF,NASDAQ
DKS,Dick's Sporting Goods Inc Common Stock,NYSE
DLAG,FT Vest U.S. Equity Dual Directional Buffer ETF - August,BATS
DLAKF,DEUTSCHE LUFTHANSA A G /FI,OTC
DLAKY,DEUTSCHE LUFTHANSA A G /FI,OTC
DLB,Dolby Laboratories Common Stock,NYSE
DLDG,DLD Group Inc. Common Stock,OTC
DLFE,FT Vest U.S. Equity Dual Directional Buffer ETF - February,BATS
DLHC,DLH Holdings Corp. - Common Stock,NASDAQ
DLLL,GraniteShares 2x Long DELL Daily ETF,NASDAQ
DLMAF,Dollarama Inc./ADR,OTC
DLMAY,Dollarama Inc./ADR,OTC
DLN,WisdomTree U.S. LargeCap Dividend Fund,NYSE ARCA
DLNG,Dynagas LNG Partners LP Common Units,NYSE
DLNG$A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,NYSE
DLNG-PA,Dynagas LNG Partners LP,OTC
DLNV,FT Vest U.S. Equity Dual Directional Buffer ETF - November,BATS
DLO,DLocal Limited - Class A Common Shares,NASDAQ
DLPME,"Development Capital Group, Inc. Common",OTC
DLPN,"Dolphin Entertainment, Inc. - Common Stock",NASDAQ
DLR,"Digital Realty Trust, Inc. Common Stock",NYSE
DLR$J,"Digital Realty Trust, Inc. 5.250% Series J Cumulative Redeemable Preferred Stock",NYSE
DLR$K,"Digital Realty Trust, Inc. 5.850% Series K Cumulative Redeemable Preferred Stock, par value $0.01 per share",NYSE
DLR$L,"Digital Realty Trust, Inc. 5.200% Series L Cumulative Redeemable Preferred Stock",NYSE
DLR-PJ,"DIGITAL REALTY TRUST, INC.",OTC
DLR-PK,"DIGITAL REALTY TRUST, INC.",OTC
DLR-PL,"DIGITAL REALTY TRUST, INC.",OTC
DLS,WisdomTree International SmallCap Fund,NYSE ARCA
DLTH,Duluth Holdings Inc. - Class B Common Stock,NASDAQ
DLTI,DLT Resolution Inc.,OTC
DLTR,"Dollar Tree, Inc. - Common Stock",NASDAQ
DLX,Deluxe Corporation Common Stock,NYSE
DLXY,Delixy Holdings Limited - Class A Ordinary Shares,NASDAQ
DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,NYSE
DMA,Destra Multi-Alternative Fund Common Stock,NYSE
DMAA,Drugs Made In America Acquisition Corp. - Ordinary Shares,NASDAQ
DMAAR,Drugs Made In America Acquisition Corp. - Rights,NASDAQ
DMAAU,Drugs Made In America Acquisition Corp. - Units,NASDAQ
DMAC,DiaMedica Therapeutics Inc. - Common Stock,NASDAQ
DMAR,FT Vest U.S. Equity Deep Buffer ETF - March,BATS
DMAX,iShares Large Cap Max Buffer Dec ETF,BATS
DMAY,FT Vest U.S. Equity Deep Buffer ETF - May,BATS
DMB,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. Common Stock",NYSE
DMBS,DoubleLine Mortgage ETF,NYSE ARCA
DMHI,"DMH International, Inc. Common Stock",OTC
DMII,Drugs Made In America Acquisition II Corp. - Ordinary Shares,NASDAQ
DMIIR,Drugs Made In America Acquisition II Corp. - Right,NASDAQ
DMIIU,Drugs Made In America Acquisition II Corp. - Unit,NASDAQ
DMLP,"Dorchester Minerals, L.P. - Common Units Representing Limited Partnership Interests",NASDAQ
DMNIF,Damon Inc.,OTC
DMNT,"DMINT, Inc.",OTC
DMO,Western Asset Mortgage Opportunity Fund Inc. Common Stock,NYSE
DMRA,"Damora Therapeutics, Inc. - Common Stock",NASDAQ
DMRC,Digimarc Corporation - Common Stock,NASDAQ
DMX,DoubleLine Multi-Sector Income ETF,NYSE ARCA
DMXF,iShares ESG Advanced MSCI EAFE ETF,NASDAQ
DMYY,"dMY Squared Technology Group, Inc.",OTC
DNA,"Ginkgo Bioworks Holdings, Inc. Class A Common Stock",NYSE
DNABW,"Ginkgo Bioworks Holdings, Inc.",OTC
DNACF,"DeNA Co., Ltd./ADR",OTC
DNCLY,"DeNA Co., Ltd./ADR",OTC
DNJF,Riverstone Ltd,OTC
DNL,WisdomTree Global ex-U.S. Quality Growth Fund,NYSE ARCA
DNLI,Denali Therapeutics Inc. - Common Stock,NASDAQ
DNMX,Dynamix Corporation III - Class A Ordinary Shares,NASDAQ
DNMXU,Dynamix Corporation III - Unit,NASDAQ
DNMXW,Dynamix Corporation III - Warrants,NASDAQ
DNN,Denison Mines Corp Ordinary Shares (Canada),AMEX
DNNG,Leverage Shares 2x Long DNN Daily ETF,NASDAQ
DNOPF,Dino Polska S.A./ADR,OTC
DNOV,FT Vest U.S. Equity Deep Buffer ETF - November,BATS
DNOW,DNOW Inc. Common Stock,NYSE
DNP,"DNP Select Income Fund, Inc. Common Stock",NYSE
DNTH,"Dianthus Therapeutics, Inc. - Common Stock",NASDAQ
DNUT,"Krispy Kreme, Inc. - Common Stock",NASDAQ
DOC,"Healthpeak Properties, Inc. Common Stock",NYSE
DOCN,"DigitalOcean Holdings, Inc. Common Stock",NYSE
DOCS,"Doximity, Inc. Class A Common Stock",NYSE
DOCT,FT Vest U.S. Equity Deep Buffer ETF - October,BATS
DOCU,"DocuSign, Inc. - Common Stock",NASDAQ
DOG,ProShares Short Dow30,NYSE ARCA
DOGD,Tradr 2X Long DDOG Daily ETF,BATS
DOGG,FT Vest DJIA Dogs 10 Target Income ETF,BATS
DOGP,"Dogecoin Cash, Inc.",OTC
DOGZ,Dogness (International) Corporation - Class A Common Stock,NASDAQ
DOJE,REX-Osprey DOGE ETF,BATS
DOL,WisdomTree True Developed International Fund,NYSE ARCA
DOLE,Dole plc Ordinary Shares,NYSE
DOMH,Dominari Holdings Inc. - Common Stock,NASDAQ
DOMO,"Domo, Inc. - Class B Common Stock",NASDAQ
DON,WisdomTree U.S. MidCap Dividend Fund,NYSE ARCA
DOO,BRP Inc. - Common Subordinate Voting Shares,NASDAQ
DORM,"Dorman Products, Inc. - Common Stock",NASDAQ
DOT,Grayscale Polkadot Trust ETF,OTC
DOUG,Douglas Elliman Inc. Common Stock,NYSE
DOV,Dover Corporation Common Stock,NYSE
DOW,Dow Inc. Common Stock,NYSE
DOWAY,Dowway Holdings Limited/ADR,OTC
DOX,Amdocs Limited - Ordinary Shares,NASDAQ
DOYU,DouYu International Holdings Limited - American Depositary Shares,NASDAQ
DPCDF,DPC DASH LTD/ADR,OTC
DPDSY,DPC DASH LTD/ADR,OTC
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,NYSE
DPLMF,Diploma plc/ADR,OTC
DPLS,"DarkPulse, Inc.",OTC
DPRO,Draganfly Inc. - Common Shares,NASDAQ
DPSI,"DecisionPoint Systems, Inc. Common Stock",OTC
DPST,Direxion Daily Regional Banks Bull 3X ETF,NYSE ARCA
DPUI,"DISCOUNT PRINT USA, INC.",OTC
